video_id,instance_id,query,short_query
-HpFtQGQ7l8,0,the cat is rolling over,the cat
-J7SggJdfJA,0,Black white cat is jumping from one cabinet to another,Black white cat
-JaavP2RFzA,0,parrot is jumping on couch back,parrot
-K_YK2Ct5f8,0,a white dog is eating food,a white dog
-MTB_0zfFXc,0,a woman is playing with her cat outside,a woman
-MTB_0zfFXc,1,Tiger cat is jumping in the corridor,Tiger cat
-MYguBhCWSM,0,a man is rolling ,a man
-MYguBhCWSM,1,rightmost man standing in the back,rightmost man
-MYguBhCWSM,2,woman in yellow belt standing in the middle,woman in yellow belt
-MYguBhCWSM,3,a person in white is watching on the left,a person in white
-MYguBhCWSM,4,Guy in kimono standing on the left,Guy in kimono
-QSOuKmwbeo,0,bird flying in the sky,bird
-QSOuKmwbeo,1,a bird on the rightmost is flying,a bird on the rightmost
-RTVlR5FrHw,0,Woman in black coat walking in front of the camera,Woman in black coat
-RTVlR5FrHw,1,man in black with a backpack standing on the right,man in black
-RTVlR5FrHw,2,Man walking on the street,Man
-RTVlR5FrHw,3,a person in dark on the left is standing,a person in dark on the left
-TeTejh1ebs,0,a person in green is climbing up a rock,a person in green
-UQLalti9dI,0,man rolling on the mat,man
-VqyimSxbpg,0,bird walking on the grass,bird
-WXtonEw8-0,0,Wavy parrot is faking to be dead,Wavy parrot
-WXtonEw8-0,1,Man shoot the bird,Man
-XgH1VvAKcA,0,a bird is standing on an object indoor watching outside,a bird
-YAVP7JseLQ,0,Furry black dog running on the grass,Furry black dog
-YAVP7JseLQ,1,a person in blue jean and black jacket is running,a person in blue jean and black jacket
-YAVP7JseLQ,2,a girl on the right is jumping,a girl on the right
-YAVP7JseLQ,3,black car parking in the back,black car
-YM5_oSdP1c,0,white cat rolling on the carpet,white cat
-YM5_oSdP1c,1,white cat rolling on the carpet,white cat
-ZG23ZWRtuM,0,baby walking with a woman,baby
-ZG23ZWRtuM,1,Woman in orange shirt holding her baby,Woman in orange shirt
-aN1E545q_Q,0,the person is crawling,the person
-d82zJg5qoY,0,the car is driving along a road,the car
-d8EYyveK_E,0,silver car parking on the right,silver car
-d8EYyveK_E,1,a black car on the right is passing ,a black car
-d8EYyveK_E,2,a person with a black jacket is walking multiple dogs,a person with a black jacket
-d8EYyveK_E,3,dog on the left walking,dog on the left
-d8EYyveK_E,4,the second dog to the left walking behind a man,the second dog to the left
-d8EYyveK_E,5,dog in the middle,dog 
-d8EYyveK_E,6,second dog from the right walking behind a man,second dog from the right
-d8EYyveK_E,7,rightmost dog walking behind a man,rightmost dog
-dP_5L19sdc,0,a man with white shirt is crawling on the left,a man with white shirt
-dP_5L19sdc,1,boy in blue tshirt crawling ,boy in blue tshirt
-esJrBWj2d8,0,Orange cat is eating from plastic pack,Orange cat
-fZzPnx706g,0,black dog is running in the grass,black dog
-g-zmU_D-e8,0,White black cat climbing the pillar,White black cat
-gLdLiByqTY,0,a baby is climbing up a ladder,a baby
-guBVgQsnWs,0,black bird flying,black bird
-iRDLJ2wK1A,0,Blue bird is faking to be dead,Blue bird
-iRDLJ2wK1A,1,hand of a man is moving,hand of a man
-jR_xfZwFNM,0,man in white shirt running,man in white shirt
-jR_xfZwFNM,1,man in black suit and white pant standing by the track,man in black suit and white pant
-lF5o3IOBm0,0,sports car driving,sports car
-ljbOmNX7x0,0,a big white ball is rolling,a big white ball
-or3GptmdFI,0,man rolling on the ground,man
-qgEE3uxVp0,0,Dog is crawling in the living room,Dog
-qgEE3uxVp0,1,woman is sitting on the knees,woman
-rr80jAfErA,0,a car is rolling on the ground,a car
-sPo-af9vKk,0,a baby in dark shirt is climbing up his bed,a baby in dark shirt
-sPo-af9vKk,1,Baby holding the fence of the bed,Baby
-vKye57piuk,0,the bird is climbing,the bird
-vQ2Q2_knC0,0,a woman in white shirt is walking on the left,a woman in white shirt
-vQ2Q2_knC0,1,Man in gray outfit with black hat walking,Man in gray outfit with black hat
-vQ2Q2_knC0,2,a woman with purple shirt is walking in a hospital,a woman with purple shirt
-vQ2Q2_knC0,3,the woman in the white shirt is walking along the hallway,the woman in the white shirt
-vQ2Q2_knC0,4,a woman in green shirt on the right is walking,a woman in green shirt on the right
-vW_-uMY4N0,0,the bird is hopping around,the bird
-vaUNnR9V_g,0,Black dog jumping over the fence,Black dog
-vaUNnR9V_g,1,a black dog is jumping,a black dog
-vaUNnR9V_g,2,Man in red shirt standing near fence,Man in red shirt
-vaUNnR9V_g,3,woman in red top standing behind the left red pillar,woman in red top
-vkNA2MhpcU,0,Woman is climbing a vertical rock,Woman
-w_AoYHLkb8,0,Cat is eating on the table,Cat
-xXJZjaJZ_Y,0,a green bird is rolling ,a green bird
-xXJZjaJZ_Y,1,hand is showing a parrot to roll,hand
-xrM_VI77UQ,0,a blue car is jumping up and down,a blue car
-xrM_VI77UQ,1,Black pickup truck is standing on the grass,Black pickup truck
-xrM_VI77UQ,2,dark colored car on the right,dark colored car
-xrM_VI77UQ,3,a light blue car on the back is parked,a light blue car
-xrM_VI77UQ,4,man in white walking beside a black car,man in white
-xrM_VI77UQ,5,Old lady with gray hair walking by the trunk,Old lady with gray hair
01wmkiDXDD8,0,an orange ball is jumping up and down,an orange ball
01wmkiDXDD8,1,man in blue shirt doing dribble,man in blue shirt
025gzoHW30M,0,a red bird on the left is sitting on top of a wall,a red bird on the left
025gzoHW30M,1,a reddish bird is eating on the left ,a reddish bird
02WkK5o25ws,0,a boy in white shirt is throwing a ball to the basket,a boy in white shirt
02WkK5o25ws,1,the basketball is thrown through the hoop,the basketball
0319d9UyJkk,0,man in black shirt and blue short pants climbing,man in black shirt and blue short pants
06Wrbztspa4,0,Gray cat catching the hand of the man,Gray cat
06Wrbztspa4,1,Ball in the green shirt is playing with the cat,Ball in the green shirt
07qn-A4ENo8,0,Baby in yellow costume rolling on the mat,Baby in yellow costume
08DluNtGnUY,0,a bird is rolling,a bird
08x3P2E122U,0,Guy is struggling to climb over stone block,Guy
0997Fi4HXIY,0,dog walking with a man,dog
0997Fi4HXIY,1,a man is walking,a man
09jkWVQS4XI,0,dog crawling on the grass,dog
0AyidPC70qw,0,baby crawling,baby
0B_n_5ei8Ts,0,Cute white cat rolling on the floor,Cute white cat
0E_2RKLEE8I,0,a bird is pecking something indoor,a bird
0E_IgPIOESA,0,a white black volkswagen is standing in a showroom,a white black volkswagen
0Iah8AZLEmc,0,a yellow parrot is standing on the floor,a yellow parrot
0JfJGE1AZrg,0,dog rolling on the floor,dog
0KHqCpC2ODA,0,metal ball bouncing up and down,metal ball
0KyLZWRC5-M,0,a black bird is eating something on the grass,a black bird
0LDJX4duVRU,0,Brown white dog crawling on the floor,Brown white dog
0LDJX4duVRU,1,a man is walking back,a man
0MVNR3JvL1U,0,a guy with red shirt is climbing,a guy with red shirt
0MVNR3JvL1U,1,man in blue shirt climbing on left,man in blue shirt
0MVNR3JvL1U,2,the man in the blue shirt is officiating at a speed climbing competition,the man in the blue shirt
0MVNR3JvL1U,3,woman sitting on the left,woman
0MVNR3JvL1U,4,a person in the middle is sitting in front of camera,a person in the middle
0MVNR3JvL1U,5,man on the right sitting,man on the right
0MaD7Ltqccs,0,Baby girl is walking in the corridor,Baby girl
0MaD7Ltqccs,1,a woman in black is walking on the right,a woman in black
0NPlxaSbrGc,0,the dog is running on a golf course,the dog
0NPlxaSbrGc,1,girl running on the lawn,girl
0OJCvoN10DQ,0,Guy in red shirt standing on the grass,Guy in red shirt
0OJCvoN10DQ,1,the man in white is rolling down a hill,the man in white
0PK3U0K7AzE,0,a cat is eating a fish,a cat
0PL3ioahHLo,0,baby crawling on the left,baby
0PL3ioahHLo,1,baby on the right is crawling,baby on the right
0QCmP0CebB8,0,green bird rolling on the floor,green bird
0QCmP0CebB8,1,the hand of the man is making a gun symbol,the hand of the man
0QJt7pXOnRk,0,baby boy is walking towards camera,baby boy
0RBrmdUTPkE,0,a bird is eating food,a bird
0RHlQdSs61U,0,the ball is rolling on the hardwood floor,the ball
0RHlQdSs61U,1,a baby is crawling,a baby
0RI2dViYmXU,0,parrot rolling,parrot
0RRW86v4Z08,0,a bird is rolling,a bird
0RRW86v4Z08,1,woman is sitting on the red couch,woman
0S0aQ0GArRc,0,the person with long blond hair is playing football,the person with long blond hair
0S0aQ0GArRc,1,Guy in white shirt is standing in the left corner,Guy in white shirt
0S0aQ0GArRc,2,player in blue shirt kicking a football on the left,player in blue shirt
0S0aQ0GArRc,3,man in blue shirt is playing football in front of the camera,man in blue shirt
0S0aQ0GArRc,4,an afro american guy is rolling between his friends,an afro american guy
0S0aQ0GArRc,5,Guy in the black shirt is standing behind other players,Guy in the black shirt
0S0aQ0GArRc,6,football on the back left,football on the back left
0S0aQ0GArRc,7,player in blue shirt passing ball on the right,player in blue shirt
0S0aQ0GArRc,8,a white ball is moving around players,a white ball
0S0aQ0GArRc,9,the man is watching the other men pass a soccer ball around,the man
0T0Cm9oK5bg,0,a yellow baby is climbing up a stair,a yellow baby
0T0Cm9oK5bg,1,a man in red shirt is sitting,a man in red shirt
0T3qMnUyB4s,0,Cat is slowly flying in the air,Cat
0T3qMnUyB4s,1,a white cat is jumping,a white cat
0T3qMnUyB4s,2,brown cat lying on the left,brown cat
0VFPCin4ENA,0,a  black and white cat is eating food,a  black and white cat
0VFPCin4ENA,1,the black cat is backing of,the black cat
0Wd6E1JOmsg,0,a white and orange car is jumping a ramp,a white and orange car
0Wd6E1JOmsg,1,man in black tshirt and gray pant standing by the road,man in black tshirt and gray pant
0Wd6E1JOmsg,2,the second man from the left in red is watching,the second man from the left in red
0Wd6E1JOmsg,3,the second person from the right is watching a car,the second person from the right
0Wd6E1JOmsg,4,guy in white shirt standing in the forrest,guy in white shirt
0Xm-9oTzWa0,0,yellow bird climbing,yellow bird
0XqFHeynFwM,0,black bird pecking the tree trunk,black bird
0Ygu7XdkggA,0,kid rolling over,kid
0ZE2_SbdGWY,0,Girl eating food in front a microphone,Girl
0b_KrJf9uic,0,a black guy with yellow sport shoes is running outside for training purposes,a black guy with yellow sport shoes
0cOr5_ECxvU,0,Black cat running out in fear,Black cat
0cbbqMbMJyc,0,a red car rolling,a red car
0cbbqMbMJyc,1,Person in white outfit with a white hat standing,Person in white outfit with a white hat
0cbbqMbMJyc,2,Guy in white costume standing between tow other guys,Guy in white costume
0cbbqMbMJyc,3,man in white standing on the far left,man in white on the far left
0ckDwjPokW0,0,a man is climbing a rock,a man
0ckDwjPokW0,1,a man in blue shirt is watching,a man in blue shirt
0ckDwjPokW0,2,man in gray shirt standing in the bottom left corner,man in gray shirt
0d4sHcxidUY,0,a bird is climbing up the fence,a bird
0dOR4MkwTw4,0,green bird climbing stairs,green bird
0deYp3CHiPw,0,Soldier is crawling below barbed wires,Soldier
0dgHAuoJKQY,0,white dog running,white dog
0dgHAuoJKQY,1,brown dog running with a white dog,brown dog
0dgHAuoJKQY,2,a man in dark is walking on the right,a man in dark
0eWa5F6SCMs,0,black cat climbing the ladder,black cat
0fdFCrYbjcg,0,cat running in the wheel,cat
0fdFCrYbjcg,1,woman sitting next to a cat,woman
0fnwII_b3S4,0,a cat is climbing up,a cat
0gZz8hESBEs,0,man with sunglasses walking,man with sunglasses
0gZz8hESBEs,1,a boy in white shirt is walking and then felling down,a boy in white shirt
0gZz8hESBEs,2,girl in black top walking with another girl,girl in black top
0gZz8hESBEs,3,girl in purple top and black pants walking with another girl,girl in purple top and black pants
0iO3tegfR4g,0,parrot jumping on the bed,parrot
0kKLgSTkCEo,0,a man is rolling on the ground,a man
0kiaG1wDovo,0,an orange car is jumping up and down,an orange car
0kiaG1wDovo,1,man in black standing on left,man in black
0kiaG1wDovo,2,a man in white shirt is sitting in the middle and watching,a man in white shirt
0kiaG1wDovo,3,man in black shirt and jeans standing on the right,man in black shirt and jeans
0l3iPKBLsqs,0,a car is jumping up and down,a car
0lb6hfFvsZw,0,man in brown short tshirt climbing,man in brown short tshirt
0likA4G9N-g,0,parrot is carrying something,parrot
0likA4G9N-g,1,a man is sitting on the right,a man
0lxhJQFzikQ,0,car jumping into the water,car
0lxhJQFzikQ,1,a car is parked on the left,a car on the left
0m1O4YzBGyo,0,the baby is rolling over,the baby
0nCVIRgUItY,0,man in white shirt eating,man in white shirt
0sUGeVNVSeQ,0,Girl in a nice dress climbing the stairs,Girl in a nice dress
0smdUX75h0Q,0,the dog is crawling along on its belly,the dog
0syY70eRHKs,0,man eating,man
0syY70eRHKs,1,man in black shirt is standing on the right,man in black shirt
0t4pWrgTHv0,0,a bird is flying,a bird
0uv_N0EhfmQ,0,a man in suit is running ,a man in suit
0uv_N0EhfmQ,1,brown dog walking with a man,brown dog
0xFmIZNNPbQ,0,cat walking in the room,cat
0zl1Y8lhSYk,0,a boy is playing with a ball,a boy
0zl1Y8lhSYk,1,ball bouncing up and down,ball
1-Q_DaH8Clw,0,a black car is jumping up and down,a black car
1-Q_DaH8Clw,1,a guy with white shirt is watching a black car rolling,a guy with white shirt
10MoANXh4LE,0,car jumping up and down,car
10MoANXh4LE,1,man in white top standing next to the car,man in white top
10XCfvnVUL0,0,car flipping over the ground,car
10XCfvnVUL0,1,blue car is turning a corner,blue car
10XCfvnVUL0,2,green car running on the road,green car
10XCfvnVUL0,3,a white car appears on the back of 3 other cars,a white car
10XCfvnVUL0,4,Car parking by the road,Car
10XCfvnVUL0,5,a white car is parked on the back,a white car
11fN5sykj2I,0,a cute cat is rolling on the floor,a cute cat
129w7Et1Xnw,0,the bird is biting a finger,the bird
14I_X1_M7B8,0,a baby is rolling,a baby
14gWirURq6I,0,a baby in white shirt is crawling,a baby in white shirt
157RAPLxUpQ,0,boy in black tracksuit is running,boy in black tracksuit
157RAPLxUpQ,1,a man in blue shirt is entering the field and picking up something,a man in blue shirt
15s9dCWCMwQ,0,Cat climbing the green wall,Cat
15ze_5lekm4,0,someone with red shirt is climbing in the mountain,someone with red shirt
1926p23ooUM,0,a man in black is playing and throwing a ball,a man in black
1926p23ooUM,1,Ball is dribbled across the cones,Ball
19dJTBEjS8Q,0,Guy in blue shirt and jeans standing near the column,Guy in blue shirt and jeans
19dJTBEjS8Q,1,half naked guy is running from left to right,half naked guy
1Am_eZhq0wg,0,The guy showing basketball exercise with a ball,The guy
1Am_eZhq0wg,1,a red ball is jumping up and down,a red ball
1ApyqVU93N4,0,Girl in yellow dress standing near the woman,Girl in yellow dress
1ApyqVU93N4,1,baby in red shirt reaching a toy,baby in red shirt
1ApyqVU93N4,2,Girl in yellow dress standing near the woman,Girl in yellow dress
1DIeaJqt6bU,0,Cat is jumping to the wardrobe,Cat
1DX-aZNP5NQ,0,a yellow car in front is moving,a yellow car
1DX-aZNP5NQ,1,the third car in the ranking is moving,the third car in the ranking
1DX-aZNP5NQ,2,red car running at second,red car at second
1DX-aZNP5NQ,3,a car is moving in the middle,a car in the middle
1FNCqCO9u5c,0,woman in black and white dress standing at the table,woman in black and white dress
1FNCqCO9u5c,1,a woman in black is standing,a woman in black
1FNCqCO9u5c,2,ball rolling inside pathway,ball
1FNCqCO9u5c,3,woman in pink standing next to a table,woman in pink
1Fmmpda6-Z8,0,Guy in the orange shirt shooting the ball,Guy in the orange shirt
1Fmmpda6-Z8,1,Guy in blue shirt with number one walking on the court,Guy in blue shirt with number one
1Fmmpda6-Z8,2,a person in the middle is standing,a person in the middle
1Fmmpda6-Z8,3,man in black shirts and white shorts running on left,man in black shirts and white shorts
1Fmmpda6-Z8,4,a red ball is flying,a red ball
1HZMPK3bwqE,0,the white dog is jumping rope,the white dog
1HZMPK3bwqE,1,man in white standing on the left,man in white
1Ia-xwNoFHE,0,the person is eating with a cat resting on his shoulder,the person
1Ia-xwNoFHE,1,Black skinny cat sitting on the shoulders of the man,Black skinny cat
1Ib_2-qdFhk,0,a man eating a big sandwich,a man
1Ib_2-qdFhk,1,a man with green shirt is sitting on the right,a man with green shirt
1J04SrAbtcg,0,man in black climbing the wall on the right,man in black
1J04SrAbtcg,1,man in black suite on the left sitting on the wall,man in black suite on the left
1J67hpI4wOk,0,man climbing rocks in the center,man
1J67hpI4wOk,1,man in black jacket standing on the right,man in black jacket on the right
1KuItO3ZqaM,0,black dog crawling,black dog
1LdhIsz6INQ,0,the man in red shorts is shooting a basketball,the man in red shorts
1LdhIsz6INQ,1,Orange ball is flying to the basket,Orange ball
1LigKS2VHiw,0,a cat is climbing a tree,a cat
1MV4W0BrsLo,0,a bird is rolling on the ground,a bird
1NMBNBJejFI,0,a cat is jumping from right to left,a cat
1NYANpd5Grs,0,black dog is eating a meat,black dog
1NZgPOEn66U,0,white fuzzy dog is running in the corridor,white fuzzy dog
1NZgPOEn66U,1,person walking the dog,person
1NrSGmxydbE,0,the baby is laying around,the baby
1PgcxZ7uopY,0,a baby is crawling,a baby
1Qljiu90ePc,0,brown dog jumping for food,brown dog
1Qljiu90ePc,1,woman standing and holding a toy ,woman
1RP7TSzEk7w,0,a black and brown dog is sitting on the floor,a black and brown dog
1TY6VJH-wqY,0,a car is jumping up and down,a car
1TY6VJH-wqY,1,a person in white tshirt is watching on the left,a person in white tshirt
1VkVlYIbMP4,0,a cat on the right is walking,a cat on the right
1VkVlYIbMP4,1,Light gray cat is watching for another cat,Light gray cat
1X11t4cb8Jg,0,man in blue shirt is crawling on the green floor,man in blue shirt
1_IQZrTz5Hw,0,a baby is walking,a baby
1_rWbFfaGNE,0,a baby is climbing up a baby seat,a baby
1bZde3PaFW0,0,a man in dark is rolling,a man in dark
1bZde3PaFW0,1,a man in red tshirt is sitting ,a man in red tshirt
1dBH-ukFdc0,0,a white dog is eating food,a white dog
1dImlUKb_vM,0,Orange ball is rolling on the road,Orange ball
1dImlUKb_vM,1,dog walking on the orange ball,dog
1dpdGHv8hHU,0,black dog crawling,black dog
1f19vXJMH44,0,green car is flying backwards,green car
1f19vXJMH44,1,man in green crouching on the far side of the road,man in green
1fAi5HWssg0,0,a red car is rotating over itself,a red car
1fjyjBE5YMU,0,a  man with yellow shirt is standing,a man with yellow shirt
1fjyjBE5YMU,1,man in yellow top jumping up and down,man in yellow top
1gl7xr5rftc,0,a cat is walking,a cat
1jPMMju2RD8,0,fat cat rolling on the floor,fat cat
1kpyM0I-0B4,0,Baby boy in orange shirt climbing the chair,Baby boy in orange shirt
1nb-YMwqwW8,0,Guy in blue shirt climbing the steep rock,Guy in blue shirt
1nbDNSCrkVs,0,blue bird walking,blue bird
1ov49K5aU6I,0,left bird climbing the cage,left bird
1qErZkpB6iA,0,duck walking on the road,duck
1uBxI_52CGM,0,dog rolling on the grass,dog
1wUH6OAaLCA,0,Bird eating rice near the window,Bird
1x32ooqnDs0,0,dog eating raw meat,dog
1xRPT8Gfj_E,0,baby is crawling with dog,baby
1xRPT8Gfj_E,1,dog crouching on the green floor,dog
1yk4gDSh_Fc,0,girl eating,girl
1zbiSzq-xPM,0,dog running on the road,dog
20LJtpiuLYE,0,Baby in striped blue shirt climbing,Baby in striped blue shirt
20WmxUkD88c,0,white dog on the ground jumping,white dog
20WmxUkD88c,1,left most dog sitting on a chair,left most dog
20WmxUkD88c,2,White poodle is sitting between two poodles on the left,White poodle
20WmxUkD88c,3,the first from right white dog is sitting in a seat,the first from right white dog
20WmxUkD88c,4,white dog is spinning something,white dog
20WmxUkD88c,5,the white dog on the right is standing still,the white dog on the right
20WmxUkD88c,6,man in white standing on the top right,man in white
20_siizMMEU,0,white dog running on the grass,white dog
20iKj52b85Q,0,black cat walking on the lawn,black cat
21nY-4v59-A,0,woman in pink sitting on the floor,woman in pink
21nY-4v59-A,1,Baby is walking towards to mother ,Baby
22WMIu4Zd0w,0,a cat is climbing from a window,a cat
24uNGOMZqvU,0,a man is climbing up from a wall,a man
25_fIVYBm3s,0,black and white cat running in the grass,black and white cat
25lRakxGC6M,0,a baby is walking,a baby
26lH0mg_i94,0,parrot rolling on the carpet,parrot
278HDxtYxn0,0,car jumping in the air,car
27SMSDGvyKk,0,baby boy climbing over the bed,baby boy
28RUzMv5W40,0,baby in pink hat rolling,baby in pink hat
28yqDUz6WPw,0,white dog crawling,white dog
29WfZ0cCyXg,0,a man in rolling,a man
2As2jOCFXUY,0,cat jumping up the wall,cat
2Av_6yKYM84,0,a baby crawling,a baby
2DWN3ip-3bU,0,Black bird is searching food in the grass,Black bird
2EJPCxODQcI,0,a ball is sliding on the floor,a ball
2EJPCxODQcI,1,a person is throwing a bowling ball,a person
2EQCNAOMqNY,0,dog crawling on the floor,dog
2EQCNAOMqNY,1,woman in blue shirt sitting on the floor,woman in blue shirt
2Fa2hO60kM0,0,cat jumping on the grass,cat
2G9DODKHHIM,0,seagull standing in the back,seagull
2G9DODKHHIM,1,a bird is running in the middle,a bird
2G9DODKHHIM,2,a white bird is standing in the middle,a white bird
2G9DODKHHIM,3,bird on the right standing ,bird on the right
2G9DODKHHIM,4,seagull with black beak standing on the shore,seagull with black beak
2H2MW8Mx_Pc,0,baby in pink is climbing the iron fence,baby in pink
2HCnhT7qoLs,0,bird taking off the ground,bird
2I8KjBvZaBY,0,a person in blue shirt is running,a person in blue shirt
2I8KjBvZaBY,1,Woman in pink jacket running on the snowy road,Woman in pink jacket
2JYGqNacyBo,0,baby walking to a woman,baby
2KciBrsCKEU,0,baby climbing the stone stairs,baby
2KciBrsCKEU,1,Man in dotted shirt following the baby,Man in dotted shirt
2KlA77j6xAc,0,woman climbing rocks,woman
2LDFWm4z3As,0,a car is flying on the air,a car
2LDFWm4z3As,1,the man is watching a pickup truck go over a jump,the man
2LDFWm4z3As,2,the man is watching a black truck do a jump,the man
2LDFWm4z3As,3,man in black top and blue jeans standing on the left,man in black top and blue jeans
2Mvpyv1Q9OA,0,a dog is jumping to catch a  frisbee,a dog
2RqQgW-h0PA,0, a green bird is rotating on the table, a green bird
2RqQgW-h0PA,1,man in gray shirt sitting at the table,man in gray shirt
2S-5f_0DEGo,0,Woman in bikini is walking along the beach,Woman in bikini
2S1bLRzMoMQ,0,the man is watching another man do a roll,the man
2S1bLRzMoMQ,1,the man is doing a roll,the man
2S1bLRzMoMQ,2,Guy in white kimono standing in the back behind the trainer,Guy in white kimono
2S1bLRzMoMQ,3,the man is doing a little dance,the man
2VhgGur_QLQ,0,Gray car is jumping on the grass,Gray car
2W1FphxgQFY,0,White car is jumping from the hill,White car
2Z_MueLTkU4,0,a child is going out of his nest,a child
2ZibDCWq4H8,0,a cute dutch guy with blonde hair is trying to walk and hold his parents hand,a cute dutch guy with blonde hair
2ZibDCWq4H8,1,woman is walking to the left,woman
2_W6uhRvTBI,0,Parrot is jumping from the table,Parrot
2c-jWclrVN8,0,a yellowish bird is rolling on the floor,a yellowish bird
2c-jWclrVN8,1,a bird is sitting on a stick on the back,a bird
2cHtVc70If4,0,cat jumping down from stair,cat
2cHtVc70If4,1,white ball on the bottom right,white ball
2cR343qUMmU,0,a big red and white ball is rolling on the ground,a big red and white ball
2e8_DZ0z8HE,0,yellow bird climbing along the rope,yellow bird
2ejL51qnSTc,0,cat climbing human leg,cat
2etAQ9gzKo4,0,white is rolling on the carpet,white 
2gpNBrZW8yg,0,cat rolling on the floor,cat
2hGmD3U7F7I,0,car flipping over the ground,car
2jmySqjF9vM,0,a white bird is flying,a white bird
2mIriLBSlco,0,White dog is running in the garden,White dog
2mM1IRHn090,0,car rolling on the road,car
2mTpW3518iE,0,cat jumping to the ball,cat
2mTpW3518iE,1,man is throwing a ball to dog inside the house,man
2m_deenn9Bo,0,man on the left throwing a ball,man on the left
2m_deenn9Bo,1,woman in black standing on the right,woman in black
2m_deenn9Bo,2,a small yellow ball in the middle,a small yellow ball
2m_deenn9Bo,3,a man in black shirt in the middle is standing,a man in black shirt in the middle
2m_deenn9Bo,4,blue balls is lying near the wall,blue balls
2m_deenn9Bo,5,a blue bar is sitting on the floor in the middle,a blue bar
2m_deenn9Bo,6,woman in black exercising with the ball,woman in black
2mbKtAnU2c4,0,a cat is walking,a cat
2oNJan-y5cI,0,red car jumping ,red car
2sDrR3lOWPY,0,woman somersaulting,woman
2sDrR3lOWPY,1,a man in dark is standing near the camera,a man in dark
2sVjifV6rOM,0,Puppy in a sweater rolling on the floor,Puppy in a sweater
2sVjifV6rOM,1,Man is sitting on the knees,Man
2svqS5sQVRw,0,a white car is jumping up an down,a white car
2svqS5sQVRw,1,man standing between two cars,man
2svqS5sQVRw,2,a black car is parked,a black car
2uwn-cDwpsM,0,an old model car is jumping in the same place ,an old model car
2vTxnuWuc4E,0,a fat american guy is rolling on the grass,a fat american guy
2vTxnuWuc4E,1,man rolling off the hill,man
2xSLG0gm_og,0,parrot climbing a cage,parrot
